"id","parent_id","code","name","type","group"
"1","11","11.01","Aceh Selatan","Kabupaten","Kabupaten/Kota"
"2","11","11.02","Aceh Tenggara","Kabupaten","Kabupaten/Kota"
"3","11","11.03","Aceh Timur","Kabupaten","Kabupaten/Kota"
"4","11","11.04","Aceh Tengah","Kabupaten","Kabupaten/Kota"
"5","11","11.05","Aceh Barat","Kabupaten","Kabupaten/Kota"
"6","11","11.06","Aceh Besar","Kabupaten","Kabupaten/Kota"
"7","11","11.07","Pidie","Kabupaten","Kabupaten/Kota"
"8","11","11.08","Aceh Utara","Kabupaten","Kabupaten/Kota"
"9","11","11.09","Simeulue","Kabupaten","Kabupaten/Kota"
"10","11","11.10","Aceh Singkil","Kabupaten","Kabupaten/Kota"
"11","11","11.11","Bireuen","Kabupaten","Kabupaten/Kota"
"12","11","11.12","Aceh Barat Daya","Kabupaten","Kabupaten/Kota"
"13","11","11.13","Gayo Lues","Kabupaten","Kabupaten/Kota"
"14","11","11.14","Aceh Jaya","Kabupaten","Kabupaten/Kota"
"15","11","11.15","Nagan Raya","Kabupaten","Kabupaten/Kota"
"16","11","11.16","Aceh Tamiang","Kabupaten","Kabupaten/Kota"
"17","11","11.17","Bener Meriah","Kabupaten","Kabupaten/Kota"
"18","11","11.18","Pidie Jaya","Kabupaten","Kabupaten/Kota"
"19","11","11.71","Banda Aceh","Kota","Kabupaten/Kota"
"20","11","11.72","Sabang","Kota","Kabupaten/Kota"
"21","11","11.73","Lhokseumawe","Kota","Kabupaten/Kota"
"22","11","11.74","Langsa","Kota","Kabupaten/Kota"
"23","11","11.75","Subulussalam","Kota","Kabupaten/Kota"
"24","12","12.01","Tapanuli Tengah","Kabupaten","Kabupaten/Kota"
"25","12","12.02","Tapanuli Utara","Kabupaten","Kabupaten/Kota"
"26","12","12.03","Tapanuli Selatan","Kabupaten","Kabupaten/Kota"
"27","12","12.04","Nias","Kabupaten","Kabupaten/Kota"
"28","12","12.05","Langkat","Kabupaten","Kabupaten/Kota"
"29","12","12.06","Karo","Kabupaten","Kabupaten/Kota"
"30","12","12.07","Deli Serdang","Kabupaten","Kabupaten/Kota"
"31","12","12.08","Simalungun","Kabupaten","Kabupaten/Kota"
"32","12","12.09","Asahan","Kabupaten","Kabupaten/Kota"
"33","12","12.10","Labuhanbatu","Kabupaten","Kabupaten/Kota"
"34","12","12.11","Dairi","Kabupaten","Kabupaten/Kota"
"35","12","12.12","Toba Samosir","Kabupaten","Kabupaten/Kota"
"36","12","12.13","Mandailing Natal","Kabupaten","Kabupaten/Kota"
"37","12","12.14","Nias Selatan","Kabupaten","Kabupaten/Kota"
"38","12","12.15","Pakpak Bharat","Kabupaten","Kabupaten/Kota"
"39","12","12.16","Humbang Hasundutan","Kabupaten","Kabupaten/Kota"
"40","12","12.17","Samosir","Kabupaten","Kabupaten/Kota"
"41","12","12.18","Serdang Bedagai","Kabupaten","Kabupaten/Kota"
"42","12","12.19","Batu Bara","Kabupaten","Kabupaten/Kota"
"43","12","12.20","Padang Lawas Utara","Kabupaten","Kabupaten/Kota"
"44","12","12.21","Padang Lawas","Kabupaten","Kabupaten/Kota"
"45","12","12.22","Labuhanbatu Selatan","Kabupaten","Kabupaten/Kota"
"46","12","12.23","Labuhanbatu Utara","Kabupaten","Kabupaten/Kota"
"47","12","12.24","Nias Utara","Kabupaten","Kabupaten/Kota"
"48","12","12.25","Nias Barat","Kabupaten","Kabupaten/Kota"
"49","12","12.71","Medan","Kota","Kabupaten/Kota"
"50","12","12.72","Pematang Siantar","Kota","Kabupaten/Kota"
"51","12","12.73","Sibolga","Kota","Kabupaten/Kota"
"52","12","12.74","Tanjung Balai","Kota","Kabupaten/Kota"
"53","12","12.75","Binjai","Kota","Kabupaten/Kota"
"54","12","12.76","Tebing Tinggi","Kota","Kabupaten/Kota"
"55","12","12.77","Padang Sidempuan","Kota","Kabupaten/Kota"
"56","12","12.78","Gunungsitoli","Kota","Kabupaten/Kota"
"57","13","13.01","Pesisir Selatan","Kabupaten","Kabupaten/Kota"
"58","13","13.02","Solok","Kabupaten","Kabupaten/Kota"
"59","13","13.03","Sijunjung","Kabupaten","Kabupaten/Kota"
"60","13","13.04","Tanah Datar","Kabupaten","Kabupaten/Kota"
"61","13","13.05","Padang Pariaman","Kabupaten","Kabupaten/Kota"
"62","13","13.06","Agam","Kabupaten","Kabupaten/Kota"
"63","13","13.07","Lima Puluh Kota","Kabupaten","Kabupaten/Kota"
"64","13","13.08","Pasaman","Kabupaten","Kabupaten/Kota"
"65","13","13.09","Kepulauan Mentawai","Kabupaten","Kabupaten/Kota"
"66","13","13.10","Dharmasraya","Kabupaten","Kabupaten/Kota"
"67","13","13.11","Solok Selatan","Kabupaten","Kabupaten/Kota"
"68","13","13.12","Pasaman Barat","Kabupaten","Kabupaten/Kota"
"69","13","13.71","Padang","Kota","Kabupaten/Kota"
"70","13","13.72","Solok","Kota","Kabupaten/Kota"
"71","13","13.73","Sawah Lunto","Kota","Kabupaten/Kota"
"72","13","13.74","Padang Panjang","Kota","Kabupaten/Kota"
"73","13","13.75","Bukittinggi","Kota","Kabupaten/Kota"
"74","13","13.76","Payakumbuh","Kota","Kabupaten/Kota"
"75","13","13.77","Pariaman","Kota","Kabupaten/Kota"
"76","14","14.01","Kampar","Kabupaten","Kabupaten/Kota"
"77","14","14.02","Indragiri Hulu","Kabupaten","Kabupaten/Kota"
"78","14","14.03","Bengkalis","Kabupaten","Kabupaten/Kota"
"79","14","14.04","Indragiri Hilir","Kabupaten","Kabupaten/Kota"
"80","14","14.05","Pelalawan","Kabupaten","Kabupaten/Kota"
"81","14","14.06","Rokan Hulu","Kabupaten","Kabupaten/Kota"
"82","14","14.07","Rokan Hilir","Kabupaten","Kabupaten/Kota"
"83","14","14.08","Siak","Kabupaten","Kabupaten/Kota"
"84","14","14.09","Kuantan Singingi","Kabupaten","Kabupaten/Kota"
"85","14","14.10","Kepulauan Meranti","Kabupaten","Kabupaten/Kota"
"86","14","14.71","Pekanbaru","Kota","Kabupaten/Kota"
"87","14","14.72","Dumai","Kota","Kabupaten/Kota"
"88","15","15.01","Kerinci","Kabupaten","Kabupaten/Kota"
"89","15","15.02","Merangin","Kabupaten","Kabupaten/Kota"
"90","15","15.03","Sarolangun","Kabupaten","Kabupaten/Kota"
"91","15","15.04","Batang Hari","Kabupaten","Kabupaten/Kota"
"92","15","15.05","Muaro Jambi","Kabupaten","Kabupaten/Kota"
"93","15","15.06","Tanjung Jabung Barat","Kabupaten","Kabupaten/Kota"
