"id","parent_id","code","name","type","group"
"1","1","11.01.01","Bakongan","Kecamatan","Kecamatan"
"2","1","11.01.02","Kluet Utara","Kecamatan","Kecamatan"
"3","1","11.01.03","Kluet Selatan","Kecamatan","Kecamatan"
"4","1","11.01.04","Labuhan Haji","Kecamatan","Kecamatan"
"5","1","11.01.05","Meukek","Kecamatan","Kecamatan"
"6","1","11.01.06","Samadua (Sama Dua)","Kecamatan","Kecamatan"
"7","1","11.01.07","Sawang","Kecamatan","Kecamatan"
"8","1","11.01.08","Tapaktuan (Tapak Tuan)","Kecamatan","Kecamatan"
"9","1","11.01.09","Trumon","Kecamatan","Kecamatan"
"10","1","11.01.10","Pasi Raja (Pasie Raja)","Kecamatan","Kecamatan"
"11","1","11.01.11","Labuhan Haji Timur","Kecamatan","Kecamatan"
"12","1","11.01.12","Labuhan Haji Barat","Kecamatan","Kecamatan"
"13","1","11.01.13","Kluet Tengah","Kecamatan","Kecamatan"
"14","1","11.01.14","Kluet Timur","Kecamatan","Kecamatan"
"15","1","11.01.15","Bakongan Timur","Kecamatan","Kecamatan"
"16","1","11.01.16","Trumon Timur","Kecamatan","Kecamatan"
"17","1","11.01.17","Kota Bahagia","Kecamatan","Kecamatan"
"18","1","11.01.18","Trumon Tengah","Kecamatan","Kecamatan"
"19","2","11.02.01","Lawe Alas","Kecamatan","Kecamatan"
"20","2","11.02.02","Lawe Sigala Gala","Kecamatan","Kecamatan"
"21","2","11.02.03","Bambel","Kecamatan","Kecamatan"
"22","2","11.02.04","Babussalam","Kecamatan","Kecamatan"
"23","2","11.02.05","Badar","Kecamatan","Kecamatan"
"24","2","11.02.06","Babul Makmur","Kecamatan","Kecamatan"
"25","2","11.02.07","Darul Hasanah","Kecamatan","Kecamatan"
"26","2","11.02.08","Lawe Bulan","Kecamatan","Kecamatan"
"27","2","11.02.09","Bukit Tusam","Kecamatan","Kecamatan"
"28","2","11.02.10","Semadam","Kecamatan","Kecamatan"
"29","2","11.02.11","Babul Rahmah","Kecamatan","Kecamatan"
"30","2","11.02.12","Ketambe","Kecamatan","Kecamatan"
"31","2","11.02.13","Deleng Pokhkisen (Deleng Pokhisen)","Kecamatan","Kecamatan"
"32","2","11.02.14","Lawe Sumur","Kecamatan","Kecamatan"
"33","2","11.02.15","Tanoh Alas (Tanah Alas)","Kecamatan","Kecamatan"
"34","2","11.02.16","Leuser","Kecamatan","Kecamatan"
"35","3","11.03.01","Darul Aman","Kecamatan","Kecamatan"
"36","3","11.03.02","Julok","Kecamatan","Kecamatan"
"37","3","11.03.03","Idi Rayeuk","Kecamatan","Kecamatan"
"38","3","11.03.04","Birem Bayeun","Kecamatan","Kecamatan"
"39","3","11.03.05","Serbajadi","Kecamatan","Kecamatan"
"40","3","11.03.06","Nurussalam","Kecamatan","Kecamatan"
"41","3","11.03.07","Peureulak","Kecamatan","Kecamatan"
"42","3","11.03.08","Rantau Selamat","Kecamatan","Kecamatan"
"43","3","11.03.09","Simpang Ulim","Kecamatan","Kecamatan"
"44","3","11.03.10","Rantau Peureulak (Ranto Peureulak)","Kecamatan","Kecamatan"
"45","3","11.03.11","Pante Bidari","Kecamatan","Kecamatan"
"46","3","11.03.12","Madat","Kecamatan","Kecamatan"
"47","3","11.03.13","Indra Makmu (Indra Makmur)","Kecamatan","Kecamatan"
"48","3","11.03.14","Idi Tunong","Kecamatan","Kecamatan"
"49","3","11.03.15","Banda Alam","Kecamatan","Kecamatan"
