"id","parent_id","code","name"
"11","16","11","Aceh (NAD)"
"51","16","51","Bali"
"36","16","36","Banten"
"17","16","17","Bengkulu"
"34","16","34","DI Yogyakarta"
"31","16","31","DKI Jakarta"
"75","16","75","Gorontalo"
"15","16","15","Jambi"
"32","16","32","Jawa Barat"
"33","16","33","Jawa Tengah"
"35","16","35","Jawa Timur"
"61","16","61","Kalimantan Barat"
"63","16","63","Kalimantan Selatan"
"62","16","62","Kalimantan Tengah"
"64","16","64","Kalimantan Timur"
"65","16","65","Kalimantan Utara"
"19","16","19","Kepulauan Bangka Belitung"
"21","16","21","Kepulauan Riau"
"18","16","18","Lampung"
"81","16","81","Maluku"
"82","16","82","Maluku Utara"
"52","16","52","Nusa Tenggara Barat (NTB)"
"53","16","53","Nusa Tenggara Timur (NTT)"
"91","16","91","Papua"
"92","16","92","Papua Barat"
"14","16","14","Riau"
"76","16","76","Sulawesi Barat"
"73","16","73","Sulawesi Selatan"
"72","16","72","Sulawesi Tengah"
"74","16","74","Sulawesi Tenggara"
"71","16","71","Sulawesi Utara"
"13","16","13","Sumatera Barat"
"16","16","16","Sumatera Selatan"
"12","16","12","Sumatera Utara"
